n_cal,mean_width,sd_p_mid,mean_ucal
500,0.02333895167093239,0.05313490843377788,0.06970911900761312
1000,0.013908268963939556,0.04128333299136024,0.054171923875228886
2000,0.010450866945653826,0.030892658825027126,0.04523831421937675
4000,0.006085602594204032,0.02806210654499437,0.03427859835380521
8000,0.0030970789206405027,0.02057366919830465,0.025564017642615552
16000,0.0024865803238993413,0.014728051599393121,0.022235546108902236
32000,0.001644916566970427,0.013824636864617894,0.01737753976368377
