x_test,p_true,p_mid,p_va,p0,p1,width,u_cal,bootstrap_sd
-2.0,0.10000491533968178,0.023529411764705882,0.0449438202247191,-0.0,0.047058823529411764,0.047058823529411764,0.03288180512199114,0.006935889994513539
-1.9919839679358717,0.10000515752468461,0.023529411764705882,0.0449438202247191,-0.0,0.047058823529411764,0.047058823529411764,0.03288180512199114,0.006935889994513539
-1.9839679358717435,0.1000054116423681,0.023529411764705882,0.0449438202247191,-0.0,0.047058823529411764,0.047058823529411764,0.03288180512199114,0.006935889994513539
-1.9759519038076152,0.10000567828065843,0.023529411764705882,0.0449438202247191,-0.0,0.047058823529411764,0.047058823529411764,0.03288180512199114,0.006935889994513539
-1.967935871743487,0.10000595805644816,0.023529411764705882,0.0449438202247191,-0.0,0.047058823529411764,0.047058823529411764,0.03288180512199114,0.006935889994513539
-1.9599198396793587,0.10000625161702337,0.023529411764705882,0.0449438202247191,-0.0,0.047058823529411764,0.047058823529411764,0.03288180512199114,0.006935889994513539
-1.9519038076152304,0.10000655964156102,0.06259936406995231,0.07819087773093139,0.04411764705882353,0.08108108108108109,0.03696343402225755,0.04657294901422905,0.018796602215960825
-1.9438877755511021,0.10000688284270004,0.06259936406995231,0.07819087773093139,0.04411764705882353,0.08108108108108109,0.03696343402225755,0.04657294901422905,0.018796602215960825
-1.9358717434869739,0.10000722196818985,0.02531645569620253,0.048192771084337345,-0.0,0.05063291139240506,0.05063291139240506,0.035346768793784435,0.008606062152851267
-1.9278557114228456,0.10000757780262007,0.02531645569620253,0.048192771084337345,-0.0,0.05063291139240506,0.05063291139240506,0.035346768793784435,0.008606062152851267
-1.9198396793587174,0.1000079511692354,0.02564102564102564,0.048780487804878044,-0.0,0.05128205128205128,0.05128205128205128,0.03579397130523655,0.008780379250457108
-1.911823647294589,0.10000834293184001,0.02564102564102564,0.048780487804878044,-0.0,0.05128205128205128,0.05128205128205128,0.03579397130523655,0.008780379250457108
-1.9038076152304608,0.10000875399679554,0.16666666666666669,0.1875,0.13333333333333333,0.2,0.06666666666666668,0.09622504486493764,0.05154500918454335
-1.8957915831663326,0.10000918531511774,0.16666666666666669,0.1875,0.13333333333333333,0.2,0.06666666666666668,0.09622504486493764,0.05154500918454335
-1.8877755511022045,0.10000963788467615,0.05330882352941177,0.06137184115523465,0.04411764705882353,0.0625,0.018382352941176468,0.030458202092267617,0.01901504185619744
-1.8797595190380763,0.10001011275250234,0.05330882352941177,0.06137184115523465,0.04411764705882353,0.0625,0.018382352941176468,0.030458202092267617,0.01901504185619744
-1.871743486973948,0.10001061101721165,0.07569444444444445,0.08660351826792964,0.0625,0.08888888888888889,0.026388888888888892,0.04296851423117759,0.022390153360726025
-1.8637274549098197,0.10001113383154435,0.07569444444444445,0.08660351826792964,0.0625,0.08888888888888889,0.026388888888888892,0.04296851423117759,0.022390153360726025
-1.8557114228456915,0.10001168240503183,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.023797997869986716
-1.8476953907815632,0.10001225800679427,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.023797997869986716
-1.839679358717435,0.10001286196847584,0.2111111111111111,0.21739130434782608,0.2,0.2222222222222222,0.0222222222222222,0.06083551774645083,0.05444257037171501
-1.8316633266533067,0.10001349568732472,0.2111111111111111,0.21739130434782608,0.2,0.2222222222222222,0.0222222222222222,0.06083551774645083,0.0545835819687234
-1.8236472945891784,0.10001416062942467,0.2111111111111111,0.21739130434782608,0.2,0.2222222222222222,0.0222222222222222,0.06083551774645083,0.0545835819687234
-1.8156312625250501,0.10001485833308565,0.11350844277673547,0.1423611111111111,0.07317073170731707,0.15384615384615385,0.08067542213883679,0.09009942263664905,0.03031431503939919
-1.8076152304609219,0.10001559041240164,0.11350844277673547,0.1423611111111111,0.07317073170731707,0.15384615384615385,0.08067542213883679,0.09009942263664905,0.03031431503939919
-1.7995991983967936,0.10001635856098345,0.2111111111111111,0.21739130434782608,0.2,0.2222222222222222,0.0222222222222222,0.06083551774645083,0.05449082634895023
-1.7915831663326653,0.10001716455587543,0.2111111111111111,0.21739130434782608,0.2,0.2222222222222222,0.0222222222222222,0.06083551774645083,0.05454892392500221
-1.783567134268537,0.10001801026166507,0.2111111111111111,0.21739130434782608,0.2,0.2222222222222222,0.0222222222222222,0.06083551774645083,0.05454892392500221
-1.7755511022044088,0.10001889763479478,0.2515151515151515,0.27472527472527475,0.2,0.30303030303030304,0.10303030303030303,0.13926951767355034,0.04903245691125859
-1.7675350701402806,0.10001982872808629,0.2515151515151515,0.27472527472527475,0.2,0.30303030303030304,0.10303030303030303,0.13926951767355034,0.04903245691125859
-1.7595190380761523,0.10002080569548742,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02856390613361725
-1.751503006012024,0.1000218307970529,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02856390613361725
-1.7434869739478958,0.10002290640417014,0.05330882352941177,0.06137184115523465,0.04411764705882353,0.0625,0.018382352941176468,0.030458202092267617,0.018660043486129537
-1.7354709418837675,0.10002403500504241,0.05330882352941177,0.06137184115523465,0.04411764705882353,0.0625,0.018382352941176468,0.030458202092267617,0.018660043486129537
-1.7274549098196392,0.1000252192104419,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.023354419370346678
-1.719438877755511,0.10002646175974599,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.023354419370346678
-1.711422845691383,0.1000277655272706,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.029684473718535793
-1.7034068136272547,0.10002913352891535,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.029684473718535793
-1.6953907815631264,0.10003056892913567,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.029684473718535793
-1.6873747494989981,0.10003207504825817,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022031974120387925
-1.6793587174348699,0.1000336553701559,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022031974120387925
-1.6713426853707416,0.10003531355030143,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022031974120387925
-1.6633266533066133,0.10003705342421607,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022031974120387925
-1.655310621242485,0.1000388790163349,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022164031315567382
-1.6472945891783568,0.10004079454930799,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022164031315567382
-1.6392785571142285,0.10004280445375911,0.10801393728222997,0.1335504885993485,0.07317073170731707,0.14285714285714285,0.06968641114982578,0.08193943826088959,0.029586895347607473
-1.6312625250501003,0.10004491337852453,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022565301695621685
-1.623246492985972,0.10004712620139553,0.07291666666666666,0.0816326530612245,0.0625,0.08333333333333333,0.02083333333333333,0.03752771930766889,0.022565301695621685
-1.6152304609218437,0.1000494480403892,0.05330882352941177,0.06137184115523465,0.04411764705882353,0.0625,0.018382352941176468,0.030458202092267617,0.019928104574887234
-1.6072144288577155,0.10005188426557361,0.05330882352941177,0.06137184115523465,0.04411764705882353,0.0625,0.018382352941176468,0.030458202092267617,0.019928104574887234
-1.5991983967935872,0.1000544405114744,0.05330882352941177,0.06137184115523465,0.04411764705882353,0.0625,0.018382352941176468,0.030458202092267617,0.019928104574887234
-1.591182364729459,0.10005712269009148,0.06372549019607843,0.08018867924528301,0.04411764705882353,0.08333333333333333,0.039215686274509796,0.04837133817334715,0.019145372630786674
-1.5831663326653307,0.1000599370045558,0.06372549019607843,0.08018867924528301,0.04411764705882353,0.08333333333333333,0.039215686274509796,0.04837133817334715,0.019145372630786674
-1.5751503006012024,0.10006288996345734,0.06372549019607843,0.08018867924528301,0.04411764705882353,0.08333333333333333,0.039215686274509796,0.04837133817334715,0.019145372630786674
-1.5671342685370742,0.10006598839587752,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02935629774843165
-1.559118236472946,0.10006923946716043,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02935629774843165
-1.5511022044088176,0.1000726506954591,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02935629774843165
-1.5430861723446894,0.10007622996909486,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02935629774843165
-1.535070140280561,0.10007998556476957,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02935629774843165
-1.5270541082164328,0.10008392616667253,0.08536585365853658,0.09523809523809523,0.07317073170731707,0.0975609756097561,0.024390243902439032,0.04363890764759432,0.02935629774843165
