n_cal,width_mono,width_viol,width_ext_mid,width_ext_bound
100,0.08348914498736865,0.009968853097350877,0.020394430139253208,0.048733946024282146
200,0.05053362729274949,0.00499114024317632,0.008168396013422622,0.02725284901533055
400,0.03184541211192999,0.0024974514652749526,0.003592774401962905,0.016052779014036737
800,0.02065276622767012,0.0012495567900184454,0.0017180577232185456,0.009497636827126406
1600,0.012019188765320371,0.0006248003597195992,0.0008499633119325753,0.0052218544595903525
3200,0.007766307688089992,0.00031245591032163665,0.0004207969729188766,0.0030960636839849937
