Quantity,Pearson,Spearman
Bootstrap Instability,0.5000010996208928,0.5279171988831137
Annotator Disagreement,0.0007272729101351492,0.0006963361660908198
Annotator Entropy,0.001341987977223567,0.0006963361660908198
