dataset,target_name,target_score,retained_fraction,mean_width,std_width,mean_sigma_cal,std_sigma_cal,ci_lower_width,ci_upper_width,ci_lower_sigma_cal,ci_upper_sigma_cal,e_model,ambiguity
adult,s~0.80,0.8000482252581133,0.5,0.016662152475899056,0.011873723287471176,0.030654928824881907,0.004710075718807526,0.006420523868538103,0.051389428053830136,0.02308591515105467,0.04056642742802561,0.04377227075397344,0.11292745149178719
adult,s~0.80,0.8000482252581133,0.25,0.029036637108425235,0.0208526090384117,0.03811076107401779,0.00705679181773208,0.009009253515301926,0.08149796069707081,0.02509720191297487,0.05172693608632019,0.04377227075397344,0.11292745149178719
adult,s~0.80,0.8000482252581133,0.125,0.04701136044634041,0.032431573569504484,0.04350935062533555,0.009853039038746835,0.0137857142857143,0.14018772893772896,0.02251926670592457,0.06074828683914467,0.04377227075397344,0.11292745149178719
bank,s~0.20,0.20002946886156514,1.0,0.02938388625592417,0.0,0.024105646893551772,0.0020211811310908686,0.02938388625592417,0.02938388625592417,0.020366329096690117,0.028773012954793065,0.05642968995054013,0.1509689809303475
bank,s~0.20,0.20002946886156514,0.75,0.023929302258679407,0.022589009334854436,0.02633702377955877,0.004211490919232006,0.002739726027397249,0.07701376759706256,0.019104675846957322,0.0349917001395781,0.05642968995054013,0.1509689809303475
bank,s~0.20,0.20002946886156514,0.5,0.028513445940797584,0.022358348884894866,0.030942232659925847,0.004900589113506231,0.003844902065210966,0.07185171559995468,0.023243093459131038,0.04177056386872982,0.05642968995054013,0.1509689809303475
bank,s~0.20,0.20002946886156514,0.25,0.02479227506290235,0.028788095597574934,0.03468614766587956,0.006488230033009686,0.004568756277201208,0.10070945945945943,0.02262745331571939,0.05042800679114199,0.05642968995054013,0.1509689809303475
bank,s~0.20,0.20002946886156514,0.125,0.04207240078649915,0.0386117683124311,0.0418400918332723,0.008112919093759588,0.006812840116773428,0.14054660278745637,0.025213992662930187,0.05946378974031885,0.05642968995054013,0.1509689809303475
bank,s~0.35,0.3500342156370445,1.0,0.003831417624521105,0.0,0.02803340227259825,0.0022508163931278173,0.003831417624521105,0.003831417624521105,0.023419132945735575,0.03306438508647554,0.09729214052817035,0.23303019626840477
bank,s~0.35,0.3500342156370445,0.75,0.008566326495724662,0.011304127002818062,0.032177214279769197,0.004241705080807806,0.0026890490222143946,0.031905174231854856,0.02588406852742371,0.040847661715694164,0.09729214052817035,0.23303019626840477
