Regime,beta_n,beta_rho,beta_v,beta_s,r2
"All $n_{\mathrm{cal}} \in [500, 32000]$",-0.6700804066273481,-0.5378381949835466,-0.3191459430103045,0.6639730285999167,0.6795880265944652
$n_{\mathrm{cal}} \ge 4000$,-0.6696644665340911,-0.5902075002448817,-0.33948828787502444,0.6766551367229424,0.5656369221982633
$n_{\mathrm{cal}} \ge 8000$,-0.6884929546911686,-0.6256432601848823,-0.34926906052746914,0.6874001102657148,0.54154524410579
