n_cal,mean_width,mean_sd,corr,fresh_brier
100,0.15467438720353666,0.12742081708130074,0.9661086858885717,0.12387990339452941
250,0.10176812789965226,0.11942894271869246,0.9328247219964363,0.12061695565876406
500,0.06676425881653597,0.09862397983485814,0.9197641364205258,0.11431472658459914
1000,0.041541144081681455,0.07772842015824878,0.9476088456539631,0.10929150697904744
2000,0.02560942093205528,0.05954755887496037,0.9526150626789296,0.10646863598678635
