n_cal,sample_size,r2,beta_const,beta_const_se,beta_rho,beta_rho_se,beta_rho_ci_lower,beta_rho_ci_upper,beta_rho_abs_err,beta_rho_rel_err,beta_v,beta_v_se,beta_v_ci_lower,beta_v_ci_upper,beta_v_abs_err,beta_v_rel_err,beta_s,beta_s_se,beta_s_ci_lower,beta_s_ci_upper,beta_s_abs_err,beta_s_rel_err,mean_abs_err
500,2688,0.36742964900486186,-3.986562031319408,0.040731647142190436,-0.4378986230753078,0.012467205410378929,-0.4649389161684108,-0.4105087130764289,0.22876804359135883,0.34315206538703824,-0.3078964143059499,0.02578404065800427,-0.35828659517957917,-0.2550571746113939,0.02543691902738343,0.0763107570821503,0.6349268468837551,0.03165818730747189,0.5758087536239459,0.6964234434451865,0.031739819782911516,0.047609729674367274,0.09531492746721792
1000,2688,0.46483492348938615,-4.525963103919442,0.04040999221145227,-0.5540010205837776,0.012368752772832137,-0.5793765481686454,-0.5303793720940565,0.11266564608288898,0.16899846912433347,-0.3097911100596055,0.025580425916301136,-0.3602736414667976,-0.2564750958487076,0.02354222327372779,0.07062666982118337,0.6645128375474552,0.031408184845991935,0.6003893463379569,0.7264176359503579,0.00215382911921147,0.003230743678817205,0.04612056615860941
2000,2016,0.43975163505637294,-4.904784861322178,0.04701575395879014,-0.5186172602409276,0.014390654521823235,-0.5512932588935642,-0.48715509003470586,0.14804940642573905,0.22207410963860857,-0.2957625630552202,0.02976202036240503,-0.357650057073244,-0.23829855195698485,0.03757077027811312,0.11271231083433936,0.6702762553171688,0.03654243443761072,0.5983363274311376,0.7426170782557663,0.0036095886505022046,0.005414382975753307,0.06307658845145146
4000,2016,0.43258185835551055,-5.494568105252718,0.04833455231965432,-0.5370538603348707,0.01479431435915729,-0.5683213714260205,-0.5069161005136521,0.12961280633179595,0.19441920949769392,-0.3248171288963536,0.03059684912436319,-0.39014498225922123,-0.26108932338237917,0.008516204436979702,0.025548613310939106,0.6605376764087861,0.03756745474634699,0.5849207261304142,0.7417608906557269,0.0061289902578804956,0.009193485386820743,0.048086000342218715
8000,1344,0.44513850808448463,-6.041355421932905,0.061444061791387304,-0.5829760536700909,0.018806893247579254,-0.6260070823936197,-0.5436415226907028,0.08369061299657576,0.12553591949486365,-0.3379999915254745,0.03889546086588376,-0.4159059925500993,-0.2603241130438768,0.004666658192141182,0.013999974576423546,0.6500883260492781,0.04775666474604064,0.5547655103880902,0.747317120799793,0.0165783406173885,0.024867510926082748,0.034978537268701815
16000,1008,0.49486855284420705,-6.570062549991167,0.07217236850238135,-0.6516555196596976,0.0220906299205549,-0.6932192918426822,-0.6112910138009899,0.015011147006969039,0.02251672051045356,-0.3975706111403719,0.045686718176499067,-0.4864150491360804,-0.3103503223635241,0.06423727780703858,0.19271183342111575,0.7536660622273246,0.056095113278774957,0.6433768062067686,0.8679755266681405,0.08699939556065794,0.13049909334098692,0.05541594012488852
32000,672,0.5401507743865004,-6.988886518845594,0.08193458583369104,-0.6719592840022828,0.025078664465421653,-0.7294127330505025,-0.6223724487925564,0.0052926173356161454,0.007938926003424218,-0.2993548726120953,0.05186641937306686,-0.4087161510124497,-0.19629190845261596,0.033978460721238,0.101935382163714,0.6626247507561703,0.06368268035486145,0.5238163602372323,0.8084342823297844,0.0040419159104962965,0.006062873865744445,0.01443766465578348
